Date,Time,Mode,Tickers_Scanned,Errors,Patterns_Total,Patterns_Fired,New_Entries,Closed_Trades,Open_Positions,Capital,Total_PnL,Telegram
2026-07-28,12:21:36 IST,SWING,20.0,0.0,0.0,0.0,0.0,1.0,0.0,398985.0,-1015.0,Sent
2026-07-29,01:14:11 IST,SWING,20.0,0.0,81.0,1.0,1.0,0.0,4.0,398969.0,-1031.0,Sent
2026-07-30,01:05:32 IST,SWING,20.0,0.0,81.0,3.0,1.0,0.0,2.0,392127.0,-7873.0,Sent
2026-07-31,01:14:05 IST,SWING,20.0,0.0,81.0,0.0,0.0,0.0,3.0,392827.0,-7173.0,Sent
2026-08-01,01:15:17 IST,SWING,20.0,0.0,81.0,3.0,1.0,1.0,2.0,389186.0,-10814.0,Sent
2026-08-02,09:49:59 IST,SWING,20.0,0.0,81.0,3.0,0.0,0.0,1.0,389389.0,-10611.0,Sent
2026-08-03,09:55:27 IST,SWING,20.0,0.0,81.0,3.0,0.0,0.0,1.0,389389.0,-10611.0,Sent
2026-08-04,01:18:01 IST,SWING,20.0,0.0,81.0,1.0,1.0,0.0,1.0,387562.0,-12438.0,Sent
2026-08-05,01:16:57 IST,SWING,20.0,0.0,81.0,6.0,2.0,0.0,3.0,387562.0,-12438.0,Sent
2026-08-06,01:16:54 IST,SWING,36.0,0.0,228.0,32.0,5.0,1.0,13.0,413911.0,13911.0,Sent
2026-08-07,05:39:41 IST,SWING,36.0,0.0,228.0,27.0,4.0,0.0,12.0,410316.0,10316.0,Sent
2026-08-08,00:37:08 IST,SWING,36.0,0.0,228.0,23.0,0.0,0.0,13.0,410316.0,10316.0,Sent
2026-08-09,08:28:52 IST,SWING,36.0,0.0,228.0,24.0,0.0,0.0,12.0,410299.0,10299.0,Sent
2026-08-10,08:38:13 IST,SWING,36.0,0.0,228.0,25.0,0.0,0.0,12.0,410299.0,10299.0,Sent
2026-08-11,00:36:40 IST,SWING,36.0,0.0,228.0,42.0,5.0,0.0,13.0,411646.0,11646.0,Sent
2026-08-12,00:42:48 IST,SWING,36.0,0.0,228.0,40.0,4.0,0.0,13.0,380039.0,-19961.0,Sent
2026-08-13,00:20:02 IST,SWING,36.0,0.0,228.0,20.0,4.0,0.0,14.0,480466.0,-19534.0,Sent
2026-08-14,08:51:25 IST,SWING,36.0,0.0,228.0,24.0,1.0,0.0,14.0,676221.0,-23779.0,Sent
2026-08-15,00:34:30 IST,SWING,36.0,0.0,228.0,24.0,0.0,0.0,14.0,675374.0,-24626.0,Sent
2026-08-16,07:48:03 IST,SWING,36.0,0.0,228.0,38.0,6.0,0.0,15.0,777184.0,-22816.0,Sent
2026-08-17,07:45:54 IST,SWING,36.0,0.0,228.0,33.0,3.0,0.0,14.0,777806.0,-22194.0,Sent
2026-08-18,00:20:30 IST,SWING,36.0,0.0,228.0,31.0,5.0,4.0,14.0,778016.0,-21984.0,Sent
2026-08-19,00:19:19 IST,SWING,36.0,0.0,224.0,26.0,5.0,0.0,18.0,799309.0,-691.0,Sent
2026-08-20,00:15:15 IST,SWING,36.0,0.0,224.0,30.0,1.0,0.0,14.0,799095.0,-905.0,Sent
2026-08-21,00:21:08 IST,SWING,36.0,0.0,224.0,12.0,0.0,0.0,15.0,802456.0,2456.0,Sent
2026-08-21,09:26:00 IST,GAPDOWN,0.0,0.0,0.0,0.0,0.0,0.0,12.0,801546.0,1546.0,Skipped (no events)
2026-08-21,10:06:17 IST,GAPDOWN,0.0,0.0,0.0,0.0,0.0,0.0,12.0,801546.0,1546.0,Skipped (no events)
2026-08-21,10:12:01 IST,FADE,585.0,3.0,7760.0,27.0,6.0,0.0,18.0,801546.0,1546.0,Sent
2026-08-21,10:12:01 IST,LONG_BOUNCE,100.0,0.0,95.0,0.0,0.0,0.0,18.0,801546.0,1546.0,Sent
2026-08-21,10:12:01 IST,IPO,37.0,3.0,37.0,0.0,0.0,0.0,18.0,801546.0,1546.0,Sent
2026-08-21,10:45:42 IST,GAPDOWN,0.0,0.0,0.0,0.0,0.0,0.0,15.0,798379.0,-1621.0,Skipped (no events)
2026-08-21,10:47:17 IST,FADE,585.0,3.0,7760.0,18.0,2.0,0.0,17.0,798379.0,-1621.0,Sent
2026-08-21,10:47:17 IST,LONG_BOUNCE,100.0,0.0,95.0,0.0,0.0,0.0,17.0,798379.0,-1621.0,Sent
2026-08-21,10:47:17 IST,IPO,37.0,3.0,37.0,0.0,0.0,0.0,17.0,798379.0,-1621.0,Sent
2026-08-21,11:22:20 IST,GAPDOWN,0.0,0.0,0.0,0.0,0.0,0.0,15.0,796150.0,-3850.0,Skipped (no events)
