Date,Time,Type,Capital,Return_Pct,Open,Total_PnL,Cap_INDIAN,Cap_US,Cap_CRYPTO,Cap_INTRADAY,Cap_FADE
2026-07-28,00:26:28 IST,Live,400000.0,0.0,1,0.0,100000.0,100000.0,100000.0,100000.0,
2026-07-29,01:16:39 IST,Live,398969.0,-0.26,4,-1031.0,100000.0,100000.0,100000.0,98969.0,
2026-07-30,01:04:15 IST,Live,392127.0,-1.97,1,-7873.0,100000.0,100000.0,100000.0,92127.0,
2026-07-31,01:15:25 IST,Live,391032.0,-2.24,1,-8968.0,100000.0,100699.0,100000.0,90332.0,
2026-08-01,00:12:46 IST,Live,390092.0,-2.48,2,-9908.0,100000.0,100699.0,100000.0,89392.0,
2026-08-02,01:15:25 IST,Live,389389.0,-2.65,1,-10611.0,100000.0,100699.0,100000.0,88689.0,
2026-08-03,00:50:49 IST,Live,389389.0,-2.65,1,-10611.0,100000.0,100699.0,100000.0,88689.0,
2026-08-04,02:09:54 IST,Live,387562.0,-3.11,1,-12438.0,100000.0,99776.0,100000.0,87787.0,
2026-08-05,00:14:52 IST,Live,387562.0,-3.11,1,-12438.0,100000.0,99776.0,100000.0,87787.0,
2026-08-06,01:40:49 IST,Live,413911.0,3.48,13,13911.0,100000.0,101755.0,100000.0,112156.0,
2026-08-07,06:01:44 IST,Live,410316.0,2.58,12,10316.0,100000.0,99149.0,99954.0,111213.0,
2026-08-08,00:41:10 IST,Live,410316.0,2.58,13,10316.0,100000.0,99149.0,99954.0,111213.0,
2026-08-09,00:19:16 IST,Live,410299.0,2.57,12,10299.0,100000.0,99149.0,99954.0,111196.0,
2026-08-10,00:21:30 IST,Live,410299.0,2.57,12,10299.0,100000.0,99149.0,99954.0,111196.0,
2026-08-11,01:04:46 IST,Live,411646.0,2.91,13,11646.0,100000.0,100487.0,99964.0,111196.0,
2026-08-12,00:00:29 IST,Live,380039.0,-4.99,9,-19961.0,100000.0,100805.0,99964.0,79270.0,
2026-08-13,00:00:36 IST,Live,480466.0,-3.91,10,-19534.0,100000.0,101232.0,99964.0,79270.0,100000.0
2026-08-14,00:00:07 IST,Live,676426.0,-3.37,14,-23574.0,100000.0,101232.0,99964.0,79369.0,95861.0
2026-08-15,00:43:20 IST,Live,675374.0,-3.52,14,-24626.0,100000.0,101232.0,99964.0,79163.0,95014.0
2026-08-16,00:08:40 IST,Live,775374.0,-3.08,14,-24626.0,100000.0,101232.0,99964.0,79163.0,95014.0
2026-08-17,00:07:54 IST,Live,777184.0,-2.85,15,-22816.0,100000.0,103038.0,99968.0,79163.0,95014.0
2026-08-18,00:19:30 IST,Live,776724.0,-2.91,13,-23276.0,100000.0,102617.0,99968.0,78530.0,94530.0
2026-08-19,00:00:35 IST,Live,799309.0,-0.09,12,-691.0,100000.0,100165.0,99968.0,108602.0,89495.0
2026-08-20,00:14:29 IST,Live,799095.0,-0.11,13,-905.0,100000.0,100247.0,101609.0,107113.0,89047.0
2026-08-21,00:23:47 IST,Live,802456.0,0.31,15,2456.0,100000.0,100247.0,101609.0,107113.0,91638.0
2026-08-22,00:17:08 IST,Live,791899.0,-1.01,12,-8101.0,100000.0,100105.0,101648.0,107113.0,81990.0
2026-08-23,00:09:16 IST,Live,791240.0,-1.09,11,-8760.0,100000.0,99446.0,101648.0,107113.0,81990.0
2026-08-24,00:08:59 IST,Live,790148.0,-1.23,11,-9852.0,100000.0,99530.0,100367.0,107113.0,81990.0
2026-08-25,00:26:21 IST,Live,787322.0,-1.58,8,-12678.0,100000.0,96692.0,100367.0,107113.0,82002.0
2026-08-26,00:23:59 IST,Live,790539.0,-1.18,5,-9461.0,100000.0,103406.0,101694.0,106474.0,82923.0
2026-08-27,01:31:52 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-28,00:02:26 IST,Live,791115.0,-1.11,8,-8885.0,100000.0,103717.0,101593.0,106840.0,82923.0
2026-08-29,00:00:03 IST,Live,790383.0,-1.2,5,-9617.0,100000.0,102633.0,101593.0,107192.0,82923.0
2026-08-30,02:19:24 IST,Live,790567.0,-1.18,4,-9433.0,100000.0,102816.0,101593.0,107192.0,82923.0
2026-08-31,02:56:49 IST,Live,806696.0,0.84,3,6696.0,100000.0,102816.0,101593.0,107192.0,100000.0
2026-09-01,00:33:32 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:36:17 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:38:49 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:41:24 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:43:55 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:46:36 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:49:11 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:51:51 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:54:24 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:57:00 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,00:59:31 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:02:13 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:04:53 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:07:26 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:09:58 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:12:33 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:15:03 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:17:33 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:20:03 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:22:35 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:25:06 IST,Live,806980.0,0.87,5,6980.0,100000.0,103101.0,101593.0,107192.0,100000.0
2026-09-01,01:27:41 IST,Live,805316.0,0.66,3,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,01:30:17 IST,Live,805316.0,0.66,3,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,01:32:50 IST,Live,805316.0,0.66,3,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,01:35:35 IST,Live,805316.0,0.66,3,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,01:38:03 IST,Live,805316.0,0.66,3,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,01:40:29 IST,Live,805316.0,0.66,3,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,04:48:35 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,04:51:15 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,04:53:55 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,04:56:27 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,04:58:56 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,05:01:24 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,05:04:03 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
2026-09-01,05:06:36 IST,Live,805316.0,0.66,4,5316.0,100000.0,101436.0,101593.0,107192.0,100000.0
