Final_Rank,Market,Region,TF,Factors,Direction,AvgWin%,Trades,TotalPnL%,Cost%_per_trade_RT,Net_TotalPnL%_After_Charges,Tax%,Net_TotalPnL%_After_Tax,Verified_File,Indicators_Computation,Cost_Documentation,Tax_Documentation,Verification_Code_Snippet,Verification_Status
1,ADA,Crypto,1d_5y,Price<SMA50+EMA9>EMA20+Range>1.5%,SHORT,67.02,95,124.97,0.3,96.47,30,67.53,ADA_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
2,ADA,Crypto,1d_5y,Price<SMA50+EMA9>EMA20,SHORT,65.98,98,123.23,0.3,93.83,30,65.68,ADA_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
3,ADA,Crypto,1d_5y,Price<SMA50+EMA9>EMA20+EMA20<EMA50,SHORT,67.09,80,115.62,0.3,91.62,30,64.13,ADA_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
4,AVAX,Crypto,1d_5y,RSI>65+Close<Open,LONG,66.1,59,108.64,0.3,90.94,30,63.66,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
5,AVAX,Crypto,1d_5y,RSI>65+EMA9>EMA20+Close<Open,LONG,66.1,59,108.64,0.3,90.94,30,63.66,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
6,AVAX,Crypto,1d_5y,RSI>65+Range>1.5%+Close<Open,LONG,66.1,59,108.64,0.3,90.94,30,63.66,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
7,AVAX,Crypto,1d_5y,Price<SMA20+Price>SMA50+Close>Open,SHORT,68.85,61,108.69,0.3,90.39,30,63.27,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
8,AVAX,Crypto,1d_5y,RSI>65+EMA20>EMA50+Close<Open,LONG,65.52,58,105.37,0.3,87.97,30,61.58,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
9,ADA,Crypto,1d_5y,Price>SMA20+Price<SMA50+EMA9>EMA20,SHORT,69.84,63,92.88,0.3,73.98,30,51.79,ADA_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
10,ETH,Crypto,1d_5y,Price<SMA20+Price>SMA50+2Red,LONG,80.0,45,64.89,0.3,51.39,30,35.97,ETH_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
